"Half pore width",dV()
7.2125,0.00018
7.2375,0.00018
7.2625,0.00018
7.2875,0.00018
7.3125,0.00018
7.3375,0.00018
7.3625,0.00018
7.3875,0.00018
7.4125,0.00018
7.4375,0.00018
7.4625,0.00018
7.4875,0.00018
7.5125,0.00018
7.5375,0.00018
7.5625,0.00018
7.5875,0.00018
7.6125,0.00018
7.6375,0.00018
7.6625,0.00018
7.6875,0.00018
7.7125,0.00019
7.7375,0.00019
7.7625,0.00019
7.7875,0.00019
7.8125,0.00019
7.8375,0.00019
7.8625,0.00019
7.8875,0.00019
7.9125,0.00018
7.9375,0.00018
7.9625,0.00018
7.9875,0.00018
8.0125,0.00018
8.0375,0.00018
8.0625,0.00018
8.0875,0.00018
8.1125,0.00018
8.1375,0.00018
8.1625,0.00017
8.1875,0.00017
8.2125,0.00017
8.2375,0.00017
8.2625,0.00017
8.2875,0.00017
8.3125,0.00017
8.3375,0.00017
8.3625,0.00017
8.3875,0.00017
8.4125,0.00016
8.4375,0.00016
8.4625,0.00016
8.4875,0.00016
8.5125,0.00016
8.5375,0.00016
8.5625,0.00016
8.5875,0.00016
8.6125,0.00016
8.6375,0.00016
8.6625,0.00016
8.6875,0.00016
8.7125,0.00016
8.7375,0.00016
8.7625,0.00016
8.7875,0.00016
8.8125,0.00016
8.8375,0.00016
8.8625,0.00016
8.8875,0.00016
8.9125,0.00016
8.9375,0.00016
8.9625,0.00016
8.9875,0.00016
9.0125,0.00016
9.0375,0.00016
9.0625,0.00016
9.0875,0.00016
9.1125,0.00016
9.1375,0.00016
9.1625,0.00016
9.1875,0.00016
9.2125,0.00016
9.2375,0.00016
9.2625,0.00016
9.2875,0.00016
9.3125,0.00016
9.3375,0.00016
9.3625,0.00016
9.3875,0.00016
9.4125,0.00016
9.4375,0.00016
9.4625,0.00016
9.4875,0.00016
9.5125,0.00016
9.5375,0.00016
9.5625,0.00016
9.5875,0.00016
9.6125,0.00016
9.6375,0.00016
9.6625,0.00016
9.6875,0.00015
